ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
35212,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,55.0,55.0
35546,AL,Berry Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,19.0,19.0
36877,AL,Smiths Station Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,52.0,52.0
35020,AL,Bessemer Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,68.0,68.0
35490,AL,Vance Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,18.0,18.0
36549,AL,Lillian Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,46.0,46.0
35570,AL,Hamilton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,32.0,32.0
35660,AL,Sheffield Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,41.0,41.0
35901,AL,Gadsden Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,68.0,68.0
35045,AL,Clanton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,64.0,64.0
35079,AL,Hayden Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,24.0,24.0
35805,AL,Huntsville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,59.0,59.0
36322,AL,Daleville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,17.0,17.0
35044,AL,Childersburg Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,24.0,24.0
36272,AL,Piedmont Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,34.0,34.0
36426,AL,Brewton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,35.0,35.0
35204,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,34.0,34.0
36617,AL,Mobile Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,14.0,14.0
36277,AL,Weaver Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,14.0,14.0
35127,AL,Pleasant Grove Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,28.0,28.0
35224,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,22.0,22.0
35962,AL,Crossville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,19.0,19.0
35121,AL,Oneonta Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,39.0,39.0
36345,AL,Headland Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,51.0,51.0
35816,AL,Huntsville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,34.0,34.0
35957,AL,Boaz Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,45.0,45.0
35907,AL,Gadsden Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,35.0,35.0
