Rank,State,County,County Score,Pending Ratio,Active Listing Count,Pending Listing Count,Median Listing Price,Median Days on Market,Price Decrease Count,New Listing Count,Recommended Home Value Range,Notes
1,MI,Macomb,92.36,0.8144269924374636,1719,1400.0,295000.0,35.0,664.0,1212,$148k-$350k,Strong buyer activity
2,MI,Wayne,91.7,0.6097794822627037,4172,2544.0,150000.0,45.0,1284.0,2316,$75k-$200k,Strong buyer activity
3,MI,Genesee,88.96,0.7447552447552448,858,639.0,219900.0,40.0,340.0,560,$110k-$293k,Strong buyer activity
4,AL,Jefferson,87.88,0.5883312933496532,2451,1442.0,244950.0,53.0,820.0,1036,$129k-$336k,Strong buyer activity
5,MI,Oakland,87.82,0.7401151631477927,2605,1928.0,419950.0,31.0,876.0,2060,$210k-$350k,Strong buyer activity
6,MI,Kent,87.05,1.1823979591836735,784,927.0,399900.0,29.0,312.0,948,$200k-$350k,Strong buyer activity
7,MI,Ingham,86.73,0.8629550321199143,467,403.0,204950.0,35.0,148.0,356,$102k-$273k,Strong buyer activity
8,FL,Santa Rosa,86.42,0.6477272727272727,1144,741.0,400000.0,55.0,420.0,476,$214k-$452k,Strong buyer activity
9,FL,Duval,86.15,0.5184065934065935,3640,1887.0,300000.0,58.0,1788.0,1632,$160k-$339k,Strong buyer activity
10,MI,Kalamazoo,85.68,1.0258215962441315,426,437.0,325000.0,38.0,212.0,364,$162k-$350k,Strong buyer activity
11,GA,Houston,85.06,0.8692579505300353,566,492.0,312651.0,51.0,168.0,300,$188k-$406k,Strong buyer activity
12,FL,Clay,84.79,0.5834266517357223,893,521.0,359000.0,54.0,432.0,444,$192k-$406k,Strong buyer activity
13,FL,Seminole,84.32,0.5109289617486339,1464,748.0,399000.0,55.0,688.0,648,$213k-$451k,Strong buyer activity
14,FL,Leon,83.35,0.5137299771167048,874,449.0,336250.0,47.0,264.0,416,$180k-$380k,Strong buyer activity
15,MI,Muskegon,83.34,0.8028169014084507,355,285.0,299900.0,38.0,140.0,224,$150k-$350k,Strong buyer activity
16,MI,Jackson,83.02,0.6604938271604939,324,214.0,255000.0,37.0,140.0,216,$128k-$340k,Strong buyer activity
17,FL,St. Johns,82.84,0.5796041308089501,2324,1347.0,540000.0,59.0,976.0,868,$289k-$550k,Strong buyer activity
18,GA,Cobb,82.71,0.44395442851892686,2721,1208.0,460000.0,40.0,1004.0,1276,$276k-$450k,Strong buyer activity
19,FL,Hillsborough,82.18,0.4294405948960622,5917,2541.0,429999.0,62.0,2592.0,2296,$230k-$486k,Strong buyer activity
20,AL,Mobile,81.39,0.5470987189148455,1327,726.0,275000.0,63.0,444.0,508,$144k-$350k,Strong buyer activity
21,MI,Saginaw,81.31,0.7604938271604939,405,308.0,142500.0,57.0,168.0,220,$71k-$190k,Strong buyer activity
22,AL,Shelby,80.98,0.7286202964652223,877,639.0,439000.0,45.0,288.0,424,$230k-$350k,Strong buyer activity
23,AL,Madison,80.69,0.5667151868025231,2061,1168.0,365000.0,60.0,664.0,948,$192k-$350k,Strong buyer activity
24,MI,Calhoun,80.69,0.968609865470852,223,216.0,205000.0,42.0,96.0,180,$102k-$273k,Strong buyer activity
25,FL,Orange,80.63,0.42330024349129053,5339,2260.0,437990.0,65.0,1960.0,2052,$234k-$495k,Strong buyer activity
26,GA,Muscogee,80.61,0.540587219343696,579,313.0,238805.0,51.0,168.0,228,$143k-$310k,Strong buyer activity
27,FL,Brevard,80.45,0.4302480661509736,3749,1613.0,375000.0,65.0,1468.0,1264,$201k-$424k,Strong buyer activity
28,GA,Gwinnett,80.16,0.4081572769953052,3408,1391.0,459990.0,44.0,1244.0,1500,$276k-$450k,Strong buyer activity
29,MI,Bay,79.79,0.8682926829268293,205,178.0,215000.0,40.0,84.0,148,$108k-$287k,Strong buyer activity
30,GA,Columbia,79.76,0.5402144772117963,746,403.0,384000.0,57.0,244.0,296,$230k-$450k,Strong buyer activity
31,MI,St. Clair,79.71,0.6352201257861635,318,202.0,329000.0,39.0,128.0,232,$164k-$350k,Strong buyer activity
32,AL,Montgomery,79.37,0.4972557628979144,911,453.0,238500.0,61.0,296.0,356,$125k-$327k,Strong buyer activity
33,GA,Dekalb,79.21,0.3725557461406518,2915,1086.0,345000.0,51.0,1056.0,1008,$207k-$448k,Strong buyer activity
34,FL,Escambia,79.19,0.44180790960451977,1770,782.0,338000.0,62.0,616.0,652,$181k-$382k,Strong buyer activity
35,FL,Hernando,79.07,0.4821002386634845,1257,606.0,359900.0,65.0,564.0,404,$193k-$407k,Strong buyer activity
36,MI,Washtenaw,78.89,0.8751879699248121,665,582.0,495000.0,36.0,204.0,492,$248k-$350k,Strong buyer activity
