State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Mobile Zip Market,36695,78.23,0.5735294117647058,204,117.0,204.0,204.0,299900.0,52.0,64.0,$157k-$350k,,True,
AL,Foley Zip Market,36535,77.96,0.5679012345679012,324,184.0,324.0,324.0,347000.0,64.0,108.0,$182k-$350k,,True,
AL,Tuscaloosa Zip Market,35405,77.96,0.8214285714285714,140,115.0,140.0,140.0,279000.0,52.0,44.0,$146k-$350k,,True,
AL,Calera Zip Market,35040,76.07,0.9607843137254902,102,98.0,102.0,102.0,269900.0,49.0,40.0,$142k-$350k,,True,
AL,Huntsville Zip Market,35810,74.89,0.6904761904761905,126,87.0,126.0,126.0,227450.0,56.0,44.0,$119k-$312k,,True,
AL,Montgomery Zip Market,36117,74.57,0.5305164319248826,213,113.0,213.0,213.0,340000.0,57.0,72.0,$178k-$350k,,True,
AL,Enterprise Zip Market,36330,74.44,0.4784688995215311,209,100.0,209.0,209.0,322200.0,53.0,72.0,$169k-$350k,,True,
AL,Birmingham Zip Market,35215,74.33,0.4431818181818182,176,78.0,176.0,176.0,144900.0,50.0,60.0,$76k-$199k,,True,
AL,Dothan Zip Market,36301,74.27,0.5032679738562091,153,77.0,153.0,153.0,279000.0,46.0,40.0,$146k-$350k,,True,
AL,Daphne Zip Market,36526,73.97,0.4924812030075188,266,131.0,266.0,266.0,394450.0,50.0,124.0,$207k-$350k,,True,
AL,Harvest Zip Market,35749,73.72,0.5372549019607843,255,137.0,255.0,255.0,339900.0,72.0,80.0,$178k-$350k,,True,
AL,Bessemer Zip Market,35023,73.12,0.5652173913043478,115,65.0,115.0,115.0,179999.0,49.0,48.0,$94k-$247k,,True,
AL,Bessemer Zip Market,35022,72.19,0.6218487394957983,119,74.0,119.0,119.0,307673.0,52.0,48.0,$162k-$350k,,True,
AL,Montgomery Zip Market,36109,71.33,0.6363636363636364,121,77.0,121.0,121.0,170000.0,63.0,32.0,$89k-$233k,,True,
AL,Montgomery Zip Market,36116,70.83,0.48031496062992124,127,61.0,127.0,127.0,241250.0,54.0,48.0,$127k-$331k,,True,
AL,Florence Zip Market,35630,70.12,0.5242718446601942,103,54.0,103.0,103.0,215000.0,51.0,40.0,$113k-$295k,,True,
AL,Cullman Zip Market,35055,70.02,0.5118110236220472,127,65.0,127.0,127.0,309900.0,54.0,52.0,$163k-$350k,,True,
AL,Decatur Zip Market,35603,69.33,0.5512820512820513,156,86.0,156.0,156.0,333500.0,67.0,48.0,$175k-$350k,,True,
AL,Mobile Zip Market,36608,68.73,0.48226950354609927,141,68.0,141.0,141.0,287400.0,68.0,48.0,$151k-$350k,,True,
AL,Athens Zip Market,35611,68.73,0.4751131221719457,221,105.0,221.0,221.0,323210.0,90.0,60.0,$170k-$350k,,True,
AL,Owens Cross Roads Zip Market,35763,68.72,0.8114754098360656,122,99.0,122.0,122.0,425000.0,43.0,48.0,$223k-$350k,,True,
AL,Birmingham Zip Market,35244,68.35,1.2122905027932962,179,217.0,179.0,179.0,629500.0,51.0,44.0,$330k-$350k,,True,
AL,Huntsville Zip Market,35811,68.27,0.47738693467336685,199,95.0,199.0,199.0,370000.0,64.0,56.0,$194k-$350k,,True,
AL,New Market Zip Market,35761,68.0,0.7213114754098361,122,88.0,122.0,122.0,323000.0,81.0,44.0,$170k-$350k,,True,
AL,Madison Zip Market,35758,67.84,0.5978835978835979,189,113.0,189.0,189.0,449950.0,53.0,60.0,$236k-$350k,,True,
AL,Madison Zip Market,35756,67.68,0.6445993031358885,287,185.0,287.0,287.0,472898.0,58.0,60.0,$248k-$350k,,True,
AL,Odenville Zip Market,35120,67.13,0.8333333333333334,78,65.0,78.0,78.0,280000.0,67.0,24.0,$147k-$350k,,True,
AL,Trussville Zip Market,35173,66.94,0.6111111111111112,162,99.0,162.0,162.0,449900.0,54.0,68.0,$236k-$350k,,True,
AL,Birmingham Zip Market,35242,66.81,0.6741573033707865,178,120.0,178.0,178.0,640000.0,41.0,60.0,$336k-$350k,,True,
AL,Birmingham Zip Market,35216,66.57,0.6493506493506493,77,50.0,77.0,77.0,309700.0,39.0,16.0,$163k-$350k,,True,
AL,Semmes Zip Market,36575,66.34,1.0,54,54.0,54.0,54.0,290000.0,52.0,24.0,$152k-$350k,,True,
AL,Mobile Zip Market,36606,66.33,0.5930232558139535,86,51.0,86.0,86.0,195000.0,71.0,40.0,$102k-$267k,,True,
AL,Alabaster Zip Market,35007,66.24,0.6794871794871795,78,53.0,78.0,78.0,347000.0,37.0,24.0,$182k-$350k,,True,
AL,Mobile Zip Market,36609,65.96,0.6617647058823529,68,45.0,68.0,68.0,260000.0,50.0,16.0,$136k-$350k,,True,
