State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Madison Zip Market,35757,63.94,0.6382978723404256,94,60.0,94.0,94.0,402999.0,58.0,48.0,$212k-$350k,,True,
AL,Eufaula Zip Market,36027,42.22,0.0851063829787234,94,8.0,94.0,94.0,290000.0,99.0,16.0,$152k-$350k,,True,
AL,Montgomery Zip Market,36106,56.44,0.27956989247311825,93,26.0,93.0,93.0,231000.0,58.0,32.0,$121k-$316k,,True,
AL,Chelsea Zip Market,35043,63.07,0.7111111111111111,90,64.0,90.0,90.0,422000.0,53.0,36.0,$222k-$350k,,True,
AL,Birmingham Zip Market,35211,65.62,0.4943820224719101,89,44.0,89.0,89.0,104125.0,59.0,24.0,$75k-$143k,,True,
AL,Birmingham Zip Market,35205,54.59,0.3146067415730337,89,28.0,89.0,89.0,289500.0,66.0,26.0,$152k-$350k,,True,
AL,Birmingham Zip Market,35216,67.99,0.5,88,44.0,88.0,88.0,297400.0,37.0,28.0,$156k-$350k,,True,
AL,Pike Road Zip Market,36064,56.98,0.896551724137931,87,78.0,87.0,87.0,449750.0,78.0,26.0,$236k-$350k,,True,
AL,Alabaster Zip Market,35007,70.77,0.7558139534883721,86,65.0,86.0,86.0,349950.0,38.0,46.0,$184k-$350k,,True,
AL,Hartselle Zip Market,35640,66.2,0.5476190476190477,84,46.0,84.0,84.0,315750.0,59.0,46.0,$166k-$350k,,True,
AL,Birmingham Zip Market,35206,55.98,0.34523809523809523,84,29.0,84.0,84.0,125000.0,67.0,22.0,$75k-$171k,,True,
AL,Toney Zip Market,35773,64.95,0.7469879518072289,83,62.0,83.0,83.0,319900.0,76.0,34.0,$168k-$350k,,True,
AL,Hazel Green Zip Market,35750,54.34,0.3493975903614458,83,29.0,83.0,83.0,317900.0,66.0,28.0,$167k-$350k,,True,
AL,Springville Zip Market,35146,52.75,0.3373493975903614,83,28.0,83.0,83.0,375000.0,52.0,28.0,$197k-$350k,,True,
AL,Birmingham Zip Market,35208,59.68,0.41975308641975306,81,34.0,81.0,81.0,102475.0,66.0,22.0,$75k-$140k,,True,
AL,Killen Zip Market,35645,51.39,0.3333333333333333,81,27.0,81.0,81.0,372400.0,60.0,34.0,$196k-$350k,,True,
AL,Mobile Zip Market,36606,63.69,0.5625,80,45.0,80.0,80.0,195000.0,88.0,40.0,$102k-$267k,,True,
AL,Odenville Zip Market,35120,70.76,0.8481012658227848,79,67.0,79.0,79.0,268675.0,54.0,24.0,$141k-$350k,,True,
AL,Talladega Zip Market,35160,48.4,0.25316455696202533,79,20.0,79.0,79.0,273650.0,72.0,16.0,$144k-$350k,,True,
AL,Pinson Zip Market,35126,65.92,0.6233766233766234,77,48.0,77.0,77.0,254900.0,63.0,22.0,$134k-$349k,,True,
AL,Mobile Zip Market,36609,59.52,0.3684210526315789,76,28.0,76.0,76.0,262000.0,53.0,28.0,$138k-$350k,,True,
AL,Florence Zip Market,35633,59.51,0.5066666666666667,75,38.0,75.0,75.0,348700.0,50.0,14.0,$183k-$350k,,True,
AL,Helena Zip Market,35080,61.29,0.6621621621621622,74,49.0,74.0,74.0,424750.0,42.0,36.0,$223k-$350k,,True,
AL,Birmingham Zip Market,35235,65.03,0.4931506849315068,73,36.0,73.0,73.0,197500.0,51.0,28.0,$104k-$271k,,True,
AL,Theodore Zip Market,36582,65.09,0.6666666666666666,72,48.0,72.0,72.0,257500.0,69.0,26.0,$135k-$350k,,True,
AL,Huntsville Zip Market,35805,52.91,0.2676056338028169,71,19.0,71.0,71.0,226225.0,53.0,28.0,$119k-$310k,,True,
AL,Mobile Zip Market,36693,58.3,0.42857142857142855,70,30.0,70.0,70.0,299000.0,62.0,28.0,$157k-$350k,,True,
AL,Leeds Zip Market,35094,58.94,0.6666666666666666,66,44.0,66.0,66.0,328500.0,76.0,18.0,$172k-$350k,,True,
AL,Bay Minette Zip Market,36507,57.24,0.4696969696969697,66,31.0,66.0,66.0,299900.0,72.0,22.0,$157k-$350k,,True,
AL,Montgomery Zip Market,36111,56.35,0.4090909090909091,66,27.0,66.0,66.0,236500.0,72.0,26.0,$124k-$324k,,True,
AL,Hanceville Zip Market,35077,53.76,0.36923076923076925,65,24.0,65.0,65.0,271900.0,64.0,14.0,$143k-$350k,,True,
AL,Robertsdale Zip Market,36567,52.0,0.38461538461538464,65,25.0,65.0,65.0,340042.0,60.0,18.0,$179k-$350k,,True,
AL,Montevallo Zip Market,35115,55.05,0.421875,64,27.0,64.0,64.0,308900.0,50.0,8.0,$162k-$350k,,True,
AL,Cullman Zip Market,35057,31.3,0.265625,64,17.0,64.0,64.0,497175.0,76.0,18.0,$261k-$350k,,True,
AL,Bessemer Zip Market,35020,49.24,0.3333333333333333,63,21.0,63.0,63.0,95000.0,71.0,16.0,$75k-$130k,,True,
AL,Clanton Zip Market,35045,49.49,0.3548387096774194,62,22.0,62.0,62.0,269700.0,82.0,14.0,$142k-$350k,,True,
AL,Cullman Zip Market,35058,40.35,0.19672131147540983,61,12.0,61.0,61.0,329900.0,69.0,18.0,$173k-$350k,,True,
AL,Loxley Zip Market,36551,51.12,0.43333333333333335,60,26.0,60.0,60.0,374500.0,63.0,20.0,$197k-$350k,,True,
AL,Birmingham Zip Market,35209,53.55,0.4915254237288136,59,29.0,59.0,59.0,434700.0,37.0,22.0,$228k-$350k,,True,
AL,Elberta Zip Market,36530,38.79,0.3220338983050847,59,19.0,59.0,59.0,441725.0,69.0,18.0,$232k-$350k,,True,
AL,Tallassee Zip Market,36078,46.95,0.3333333333333333,57,19.0,57.0,57.0,339675.0,65.0,20.0,$178k-$350k,,True,
AL,Rogersville Zip Market,35652,35.87,0.14035087719298245,57,8.0,57.0,57.0,395600.0,70.0,36.0,$208k-$350k,,True,
AL,Saraland Zip Market,36571,64.72,0.6363636363636364,55,35.0,55.0,55.0,277249.0,45.0,18.0,$146k-$350k,,True,
AL,Huntsville Zip Market,35824,61.28,0.7272727272727273,55,40.0,55.0,55.0,364850.0,45.0,22.0,$192k-$350k,,True,
AL,Mobile Zip Market,36605,50.9,0.34545454545454546,55,19.0,55.0,55.0,150125.0,64.0,16.0,$79k-$206k,,True,
AL,Warrior Zip Market,35180,49.52,0.4,55,22.0,55.0,55.0,309888.0,85.0,20.0,$163k-$350k,,True,
AL,Eclectic Zip Market,36024,30.12,0.3148148148148148,54,17.0,54.0,54.0,733500.0,84.0,12.0,$385k-$350k,,True,
AL,Pell City Zip Market,35128,44.2,0.4528301886792453,53,24.0,53.0,53.0,470475.0,54.0,24.0,$247k-$350k,,True,
AL,Wetumpka Zip Market,36093,54.27,0.7692307692307693,52,40.0,52.0,52.0,406150.0,61.0,14.0,$213k-$350k,,True,
AL,Sylacauga Zip Market,35150,54.0,0.5,52,26.0,52.0,52.0,187950.0,93.0,16.0,$99k-$257k,,True,
AL,Mobile Zip Market,36604,41.95,0.28846153846153844,52,15.0,52.0,52.0,275000.0,101.0,10.0,$144k-$350k,,True,
AL,Semmes Zip Market,36575,60.92,0.9019607843137255,51,46.0,51.0,51.0,283750.0,71.0,14.0,$149k-$350k,,True,
